PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	GROSSFIELD, J								DECAPITATED FEMALES AS A TOOL IN ANALYSIS OF DROSOPHILA BEHAVIOR								ANIMAL BEHAVIOUR				20	MAY			243	+		10.1016/S0003-3472(72)80043-5			1972	1972										10							WOS:A1972O031700007		
J	WILSON, MI; BERMANT, G								ANALYSIS OF SOCIAL INTERACTIONS IN JAPANESE-QUAIL, COTURNIX-COTURNIX-JAPONICA								ANIMAL BEHAVIOUR				20	MAY			252	&		10.1016/S0003-3472(72)80044-7			1972	1972										44							WOS:A1972O031700008		
J	WILLIAMS, DI; LOWE, G								RESPONSE CONTINGENT ILLUMINATION CHANGE AS A REINFORCER IN RAT								ANIMAL BEHAVIOUR				20	MAY			259	&		10.1016/S0003-3472(72)80045-9			1972	1972										3							WOS:A1972O031700009		
J	LOTT, DF; HOPWOOD, JH								OLFACTORY PREGNANCY-BLOCK IN MICE (MUS-MUSCULUS) - UNUSUAL RESPONSE ACQUISITION PARADIGM								ANIMAL BEHAVIOUR				20	MAY			263	&		10.1016/S0003-3472(72)80046-0			1972	1972										9							WOS:A1972O031700010		
J	PEEKE, HVS; PEEKE, SC								HABITUATION, REINSTATEMENT AND RECOVERY OF PREDATORY RESPONSES IN 2 SPECIES OF TELEOSTS, CARASSIUS-AURATUS AND MACROPODUS-OPERCULARIS								ANIMAL BEHAVIOUR				20	MAY			268	&		10.1016/S0003-3472(72)80047-2			1972	1972										10							WOS:A1972O031700011		
J	BUSE, A								BEHAVIORAL ASPECTS OF RELATIONSHIP OF CHAETOGASTER-LIMNAEI (OLIGOCHAETA-NAIDIDAE) WITH ITS GASTROPOD HOST								ANIMAL BEHAVIOUR				20	MAY			274	&		10.1016/S0003-3472(72)80048-4			1972	1972										11							WOS:A1972O031700012		
J	FOXX, RM								ATTACK PREFERENCES OF RED-BELLIED PIRANHA (SERRASALMUS-NATTERERI								ANIMAL BEHAVIOUR				20	MAY			280	&		10.1016/S0003-3472(72)80049-6			1972	1972										8							WOS:A1972O031700013		
J	STADDON, JER								NOTE ON ANALYSIS OF BEHAVIORAL SEQUENCES IN COLUMBA-LIVIA								ANIMAL BEHAVIOUR				20	MAY			284	&		10.1016/S0003-3472(72)80050-2			1972	1972										12							WOS:A1972O031700014		
J	WELLS, MJ; WELLS, J								SEXUAL DISPLAYS AND MATING OF OCTOPUS-VULGARIS CUVIER AND O CYANEA GRAY AND ATTEMPTS TO ALTER PERFORMANCE BY MANIPULATING GLANDULAR CONDITION OF ANIMALS								ANIMAL BEHAVIOUR				20	MAY			293	&		10.1016/S0003-3472(72)80051-4			1972	1972										37							WOS:A1972O031700015		
J	STEPHENS, GJ; MCGAUGH, JL								BIOLOGICAL FACTORS RELATED TO LEARNING IN LAND SNAIL (HELIX-ASPERSA MULLER)								ANIMAL BEHAVIOUR				20	MAY			309	&		10.1016/S0003-3472(72)80052-6			1972	1972										8							WOS:A1972O031700016		
J	FARENTINOS, RC								SOCIAL DOMINANCE AND MATING ACTIVITY IN TASSEL-EARED SQUIRREL (SCIURUS-ABERTI-FERREUS)								ANIMAL BEHAVIOUR				20	MAY			316	+		10.1016/S0003-3472(72)80053-8			1972	1972										59							WOS:A1972O031700017		
J	FREE, JB; WILLIAMS, IH								HOARDING BY HONEYBEES (APIS-MELLIFERA L)								ANIMAL BEHAVIOUR				20	MAY			327	&		10.1016/S0003-3472(72)80054-X			1972	1972										21							WOS:A1972O031700018		
J	WILZ, KJ								CAUSAL RELATIONSHIPS BETWEEN AGGRESSION AND SEXUAL AND NEST BEHAVIORS IN THREE-SPINED STICKLEBACK (GASTEROSTEUS-ACULEATUS)								ANIMAL BEHAVIOUR				20	MAY			335	+		10.1016/S0003-3472(72)80055-1			1972	1972										29							WOS:A1972O031700019		
J	ERICKSON, CJ; MORRIS, RL								EFFECTS OF MATE FAMILIARITY ON COURTSHIP AND REPRODUCTIVE SUCCESS OF RING DOVE (STREPTOPELIA-RISORIA)								ANIMAL BEHAVIOUR				20	MAY			341	&		10.1016/S0003-3472(72)80056-3			1972	1972										25							WOS:A1972O031700020		
J	WELLS, MJ; BUCKLEY, SKL								SNAILS AND TRAILS								ANIMAL BEHAVIOUR				20	MAY			345	&		10.1016/S0003-3472(72)80057-5			1972	1972										67							WOS:A1972O031700021		
J	KREKORIAN, CO; DUNHAM, DW								PARENTAL EGG CARE IN SPRAYING CHARACID (COPEINA-ARNOLDI REGAN) - ROLE OF SPAWNING SURFACE								ANIMAL BEHAVIOUR				20	MAY			356	+		10.1016/S0003-3472(72)80058-7			1972	1972										7							WOS:A1972O031700022		
J	TOPOFF, H; TRAKIMAS, W; BOSHES, M								COMPARISON OF TRAIL FOLLOWING BETWEEN CALLOW AND ADULT WORKERS OF ARMY ANT [NEIVAMYRMEX NIGRESCENS (FORMICIDAE-DORYLINAE)]								ANIMAL BEHAVIOUR				20	MAY			361	&		10.1016/S0003-3472(72)80059-9			1972	1972										11							WOS:A1972O031700023		
J	WALOFF, Z								OBSERVATIONS ON AIRSPEEDS OF FREELY FLYING LOCUSTS								ANIMAL BEHAVIOUR				20	MAY			367	&		10.1016/S0003-3472(72)80060-5			1972	1972										18							WOS:A1972O031700024		
J	ULINSKI, PS								TONGUE MOVEMENTS IN COMMON BOA (CONSTRICTOR-CONSTRICTOR)								ANIMAL BEHAVIOUR				20	MAY			373	&		10.1016/S0003-3472(72)80061-7			1972	1972										28							WOS:A1972O031700025		
J	SCHEIN, MW; CARTER, CS								SEXUAL BEHAVIOR AND NOVEL STIMULI IN MALE JAPANESE-QUAIL (COTURNIX-COTURNIX-JAPONICA)								ANIMAL BEHAVIOUR				20	MAY			383	&		10.1016/S0003-3472(72)80062-9			1972	1972										7							WOS:A1972O031700026		
J	PRIESTNALL, R								EFFECTS OF LITTER SIZE ON BEHAVIOR OF LACTATING FEMALE MICE (MUS-MUSCULUS)								ANIMAL BEHAVIOUR				20	MAY			386	+		10.1016/S0003-3472(72)80063-0			1972	1972										51							WOS:A1972O031700027		
J	BROWN, JL								COMMUNAL FEEDING OF NESTLINGS IN MEXICAN JAY (APHELOCOMA-ULTRAMARINA) - INTERFLOCK COMPARISONS								ANIMAL BEHAVIOUR				20	MAY			395	&		10.1016/S0003-3472(72)80064-2			1972	1972										48							WOS:A1972O031700028		
J	DIMOND, SJ; ADAM, JH								APPROACH BEHAVIOR AND EMBRYONIC VISUAL EXPERIENCE IN CHICKS - STUDIES OF EFFECT OF RATE OF VISUAL FLICKER								ANIMAL BEHAVIOUR				20	3			413	420		10.1016/S0003-3472(72)80001-0			1972	1972										15							WOS:A1972O519200001		
J	HEATON, MB								PRENATAL AUDITORY DISCRIMINATION IN WOOD DUCK (AIX-SPONSA)								ANIMAL BEHAVIOUR				20	3			421	424		10.1016/S0003-3472(72)80002-2			1972	1972										22							WOS:A1972O519200002		
J	KLING, JW; STEVENSO.J								REINFORCEMENT, EXTINCTION AND SPONTANEOUS RECOVERY OF KEY PECKING IN CHAFFINCHES								ANIMAL BEHAVIOUR				20	3			425	429		10.1016/S0003-3472(72)80003-4			1972	1972										3							WOS:A1972O519200003		
J	STEVENSO, J								EFFECTS OF EARLY EXPERIENCE AND TESTOSTERONE ON SONG AS A REINFORCER								ANIMAL BEHAVIOUR				20	3			430	435		10.1016/S0003-3472(72)80004-6			1972	1972										13							WOS:A1972O519200004		
J	ZUG, GR								CRITIQUE OF WALK PATTERN ANALYSIS OF SYMMETRICAL QUADRUPEDAL GAITS								ANIMAL BEHAVIOUR				20	3			436	438		10.1016/S0003-3472(72)80005-8			1972	1972										14							WOS:A1972O519200005		
J	ZUG, GR								WALK PATTERN ANALYSIS OF CRYPTODIRAN TURTLE GAITS								ANIMAL BEHAVIOUR				20	3			439	443		10.1016/S0003-3472(72)80006-X			1972	1972										16							WOS:A1972O519200006		
J	DUNCAN, IJH; WOODGUSH, DG								THWARTING OF FEEDING BEHAVIOR IN DOMESTIC FOWL								ANIMAL BEHAVIOUR				20	3			444	451		10.1016/S0003-3472(72)80007-1			1972	1972										165							WOS:A1972O519200007		
J	LINDSAY, DR; FLETCHER, IC								RAM-SEEKING ACTIVITY ASSOCIATED WITH ESTROUS BEHAVIOR IN EWES								ANIMAL BEHAVIOUR				20	3			452	456		10.1016/S0003-3472(72)80008-3			1972	1972										47							WOS:A1972O519200008		
J	BUCKLEY, PA; BUCKLEY, FG								INDIVIDUAL EGG AND CHICK RECOGNITION BY ADULT ROYAL TERNS (STERNA-MAXIMA-MAXIMA)								ANIMAL BEHAVIOUR				20	3			457	&		10.1016/S0003-3472(72)80009-5			1972	1972										53							WOS:A1972O519200009		
